Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,-0.2,-10.8,6.2,%, 1110.4,keine Änderungen 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,2.0,-9.2,11.5,%, 701.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sonneberg,16072,1.2,-9.8,7.3,%, 1022.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Weimarer Land,16071,3.8,-6.9,13.6,%, 587.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,2.6,-8.2,11.0,%, 742.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Altenburger Land,16077,1.9,-12.5,7.6,%, 606.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Greiz,16076,1.6,-11.1,10.4,%, 632.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,1.9,-12.1,11.0,%, 686.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,3.4,-8.9,14.4,%, 612.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,2.1,-10.5,7.3,%, 801.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,4.4,-10.0,11.3,%, 541.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,1.4,-7.1,10.8,%, 851.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,3.6,-7.7,14.1,%, 599.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,2.7,-9.2,12.0,%, 755.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,2.7,-10.4,8.3,%, 551.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,0.6,-8.9,7.8,%, 964.5,keine Änderungen 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,3.7,-8.3,10.3,%, 791.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,1.6,-8.9,8.7,%, 845.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,2.3,-8.1,8.0,%, 744.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,3.1,-7.3,12.3,%, 606.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,0.9,-8.8,8.8,%, 854.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Barnim,12060,4.9,-12.1,11.7,%, 571.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dahme-Spreewald,12061,4.6,-11.8,10.7,%, 549.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Elbe-Elster,12062,4.3,-10.8,10.1,%, 556.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Havelland,12063,3.0,-9.1,8.7,%, 530.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Märkisch-Oderland,12064,5.7,-12.1,11.9,%, 530.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberhavel,12065,3.0,-11.6,10.7,%, 559.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberspreewald-Lausitz,12066,4.5,-11.8,10.0,%, 573.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rheingau-Taunus-Kreis,06439,1.9,-9.5,11.2,%, 704.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Nürnberg,09564_09563_09574_09565_09573_09572_09576_09562,1.4,-12.0,9.6,%, 746.4,keine Änderungen 
Niederschlag,ganzes Jahr,Waldshut,08337,1.6,-5.8,9.9,%, 1289.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Lörrach,08336,-0.9,-9.7,10.9,%, 1289.6,keine Änderungen 
Niederschlag,ganzes Jahr,Konstanz,08335,3.4,-3.3,8.8,%, 849.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Schwerin ,13004_13076_13074,2.3,-12.3,7.9,%, 619.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Wilhelmshaven,03405_03455,1.7,-12.8,8.2,%, 805.5,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Ansbach,09561_09571,3.1,-9.7,9.8,%, 710.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Koblenz,07111_07137_07141_07143,1.3,-9.6,9.3,%, 802.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Biberach,08426,3.1,-5.6,8.5,%, 853.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Alb-Donau-Kreis,08425,3.1,-7.6,8.7,%, 836.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rottweil,08325,2.0,-8.6,10.5,%, 1043.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Schwarzwald-Baar-Kreis,08326,1.5,-8.8,9.5,%, 1129.6,keine Änderungen 
Niederschlag,ganzes Jahr,Tuttlingen,08327,3.2,-6.1,10.0,%, 862.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Bayreuth ,09462_09472,0.7,-11.4,7.9,%, 868.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Diepholz,03251,1.7,-13.1,8.4,%, 684.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Mayen-Koblenz,07137,1.5,-10.1,12.0,%, 673.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Holzminden,03255,2.1,-14.5,8.8,%, 855.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hildesheim,03254,3.2,-13.0,8.4,%, 708.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Schaumburg,03257,2.1,-14.3,7.9,%, 743.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Nienburg (Weser),03256,2.1,-13.7,7.3,%, 679.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Vogtlandkreis,14523,1.7,-13.9,8.1,%, 748.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Mittelsachsen,14522,3.2,-13.9,7.6,%, 749.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Erzgebirgskreis,14521,2.2,-12.8,7.9,%, 900.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Berlin,11000,4.7,-11.6,12.0,%, 566.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Zwickau,14524,2.1,-13.9,7.3,%, 702.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Schwabach ,09565_09576_09564,1.4,-11.8,10.3,%, 713.8,keine Änderungen 
Niederschlag,ganzes Jahr,Region um  Braunschweig,03101_03157_03154_03151_03102_03158_03103,2.2,-10.3,8.7,%, 634.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Hof ,09464_09475,1.6,-12.3,8.2,%, 843.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Kaiserslautern,07312_07335_07332,3.1,-11.7,12.2,%, 736.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  München,09162_09184_09179_09174,1.2,-7.7,10.4,%, 958.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Cottbus ,12052_12071,4.0,-12.4,11.3,%, 575.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bochum,05911_05954_05913_05513_05113_05916_05562,1.3,-10.3,7.4,%, 863.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bautzen,14625,5.2,-14.8,10.5,%, 683.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Görlitz,14626,5.5,-15.9,11.4,%, 667.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Meißen,14627,4.3,-13.5,9.0,%, 597.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Amberg ,09361_09371,2.2,-11.7,10.0,%, 789.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sächsische Schweiz-Osterzgebirge,14628,3.0,-13.5,9.9,%, 772.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Esslingen,08116,2.0,-8.2,11.2,%, 838.3,keine Änderungen 
Niederschlag,ganzes Jahr,Böblingen,08115,3.0,-6.4,12.1,%, 756.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Eisenach ,16056_16063_06636,1.2,-10.9,9.8,%, 731.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Düren,05358,2.8,-9.0,10.4,%, 715.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ludwigshafen am Rhein ,07314_07311_07338_08222,1.6,-8.8,12.1,%, 598.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Passau ,09262_09275,1.2,-10.3,11.8,%, 935.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Magdeburg ,15003_15083_15089_15086,5.0,-9.2,11.1,%, 506.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Straubing ,09263_09278,1.3,-12.8,11.8,%, 811.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Coburg,09463_09473,2.9,-9.3,7.4,%, 737.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Duisburg ,05112_05114_05119_05117_05170_05158_05111,2.0,-11.0,7.6,%, 798.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Bremen ,04011_03361_03251_03401_03461_03356_03352_04012,2.7,-12.6,8.1,%, 740.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Delmenhorst ,03401_03458_04011_03251_03461,1.2,-13.3,8.8,%, 713.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Potsdam,12054_12063_12069_11000_12051,4.6,-9.9,9.0,%, 538.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Cloppenburg,03453,0.7,-13.1,8.3,%, 775.4,keine Änderungen 
Niederschlag,ganzes Jahr,Aurich,03452,2.6,-13.0,12.8,%, 804.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ammerland,03451,0.4,-13.6,7.8,%, 785.1,keine Änderungen 
Niederschlag,ganzes Jahr,Leer,03457,1.6,-12.8,8.2,%, 767.7,keine Änderungen 
Niederschlag,ganzes Jahr,Grafschaft Bentheim,03456,2.2,-9.5,7.3,%, 780.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Friesland,03455,1.7,-12.8,8.3,%, 802.1,keine Änderungen 
Niederschlag,ganzes Jahr,Emsland,03454,1.1,-11.3,8.0,%, 769.4,keine Änderungen 
Niederschlag,ganzes Jahr,Osnabrück,03459,1.7,-12.5,7.7,%, 795.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oldenburg,03458,0.9,-13.8,9.9,%, 738.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Coesfeld,05558,1.8,-10.3,9.1,%, 808.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Potsdam-Mittelmark,12069,4.5,-10.6,9.2,%, 535.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Freising,09178,2.1,-7.4,11.6,%, 811.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Fürstenfeldbruck,09179,1.2,-7.4,10.2,%, 925.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Minden-Lübbecke,05770,2.6,-12.8,8.0,%, 700.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Erding,09177,1.8,-6.8,12.0,%, 889.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dachau,09174,2.0,-6.6,10.8,%, 882.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ebersberg,09175,1.4,-8.0,11.2,%, 1056.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Paderborn,05774,1.1,-12.3,6.2,%, 861.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bad Tölz-Wolfratshausen,09173,0.7,-7.8,10.8,%, 1481.0,keine Änderungen 
Niederschlag,ganzes Jahr,Altötting,09171,2.2,-6.7,14.0,%, 936.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Segeberg,01060,2.1,-11.6,7.7,%, 810.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Steinburg,01061,3.9,-11.6,9.4,%, 835.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Stormarn,01062,1.8,-12.2,8.1,%, 770.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Warendorf,05570,2.3,-10.8,7.3,%, 758.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Erlangen-Höchstadt,09572,1.7,-11.4,8.8,%, 703.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ansbach,09571,3.1,-9.7,9.8,%, 712.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Roth,09576,1.3,-11.7,10.5,%, 727.5,keine Änderungen 
Niederschlag,ganzes Jahr,Weißenburg-Gunzenhausen,09577,1.6,-9.3,10.6,%, 743.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Nürnberger Land,09574,0.5,-13.1,9.4,%, 869.3,keine Änderungen 
Niederschlag,ganzes Jahr,Neustadt an der Aisch-Bad Windsheim,09575,2.2,-9.6,8.6,%, 675.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Wesel,05170,2.1,-10.9,7.6,%, 761.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Lichtenfels,09478,2.3,-10.5,7.9,%, 729.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Coburg,09473,2.9,-9.2,7.4,%, 737.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bayreuth,09472,0.7,-11.4,7.9,%, 874.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bamberg,09471,2.8,-10.1,8.1,%, 737.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oder-Spree,12067,5.5,-12.5,12.4,%, 556.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Kulmbach,09477,0.6,-10.2,7.2,%, 836.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Kronach,09476,0.6,-9.9,7.2,%, 932.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hof,09475,1.6,-12.3,8.1,%, 850.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Forchheim,09474,0.4,-11.9,8.7,%, 822.5,keine Änderungen 
Niederschlag,ganzes Jahr,Vogelsbergkreis,06535,2.0,-8.0,8.6,%, 829.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Marburg-Biedenkopf,06534,2.7,-9.5,11.9,%, 752.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Limburg-Weilburg,06533,1.8,-9.3,9.7,%, 745.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Lahn-Dill-Kreis,06532,2.8,-8.9,12.2,%, 862.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Gießen,06531,3.7,-7.7,9.0,%, 694.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Heidelberg,08221_08226_08222,1.4,-8.8,10.4,%, 832.5,keine Änderungen 
Niederschlag,ganzes Jahr,Region um Solingen ,05122_05158_05124_05378_05120,0.8,-10.3,6.9,%, 1045.4,keine Änderungen 
Niederschlag,ganzes Jahr,Köln,05315,2.7,-10.0,7.4,%, 788.4,keine Änderungen 
Niederschlag,ganzes Jahr,Oberallgäu,09780,0.8,-6.9,10.6,%, 1730.1,keine Änderungen 
Niederschlag,ganzes Jahr,Deggendorf,09271,0.2,-11.4,11.6,%, 963.4,keine Änderungen 
Niederschlag,ganzes Jahr,Kelheim,09273,3.1,-10.6,13.0,%, 738.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rhein-Sieg-Kreis,05382,2.1,-10.2,7.8,%, 822.4,keine Änderungen 
Niederschlag,ganzes Jahr,Passau,09275,1.2,-10.3,11.8,%, 937.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Landshut,09274,3.1,-8.2,12.9,%, 787.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rottal-Inn,09277,2.7,-7.4,13.4,%, 863.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Regen,09276,-0.5,-14.2,9.5,%, 1127.8,keine Änderungen 
Niederschlag,ganzes Jahr,Dingolfing-Landau,09279,1.7,-9.4,13.4,%, 771.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Straubing-Bogen,09278,1.2,-12.8,11.8,%, 815.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Cham,09372,1.0,-13.6,10.2,%, 847.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Neumarkt in der Oberpfalz,09373,1.9,-11.4,10.7,%, 821.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Neustadt an der Waldnaab,09374,1.4,-12.5,9.8,%, 777.2,Tendenz zur Zunahme 
