Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,2.7,-5.4,7.4,%, 1110.4,keine Änderungen 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,2.6,-1.6,9.7,%, 701.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sonneberg,16072,2.2,-4.1,9.4,%, 1022.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Weimarer Land,16071,4.2,-1.5,11.0,%, 587.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,1.7,-1.8,9.2,%, 742.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Altenburger Land,16077,3.7,-2.3,10.4,%, 606.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Greiz,16076,3.0,-3.2,11.9,%, 632.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,3.7,-2.8,11.1,%, 686.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,3.9,-3.4,11.3,%, 612.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,3.9,-4.1,8.9,%, 801.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,5.1,-1.6,10.2,%, 541.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,4.7,-4.9,12.1,%, 851.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,4.1,-1.9,11.2,%, 599.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,6.3,-2.5,11.1,%, 755.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,5.2,-3.0,12.6,%, 551.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,2.7,-6.0,10.4,%, 964.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,3.6,-2.7,10.7,%, 791.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,4.2,-4.8,11.9,%, 845.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,3.8,-4.4,11.6,%, 744.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,6.0,-2.2,13.5,%, 606.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,4.0,-5.1,13.0,%, 854.5,Tendenz zur Zunahme 
