Klimakennwert,Jahreszeit,Landkreis Name,Landkreis Kennziffer (Kreisschlüssel),Median der Änderungen,Minimum,Maximum,Einheit,HYRAS Beobachtungen 1971-2000,Experteneinschätzung zur Belastbarkeit 
Niederschlag,ganzes Jahr,Region um  Wuppertal,05124_05122_05120_05158_05954_05374,2.7,-2.5,15.5,%, 1110.4,keine Änderungen 
Niederschlag,ganzes Jahr,Saalfeld-Rudolstadt,16073,6.0,-3.3,16.9,%, 701.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sonneberg,16072,2.1,-3.0,15.9,%, 1022.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Weimarer Land,16071,5.8,-4.2,17.0,%, 587.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ilm-Kreis,16070,3.6,-3.9,17.3,%, 742.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Altenburger Land,16077,6.1,-2.5,17.0,%, 606.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Greiz,16076,6.0,-3.5,16.2,%, 632.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Orla-Kreis,16075,5.1,-2.8,18.0,%, 686.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Saale-Holzland-Kreis,16074,7.2,-4.8,16.8,%, 612.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bottrop,05512_05119_05513_05113_05170_05562,3.2,-0.3,15.0,%, 801.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Dessau-Rolau ,15001_15091_15082,6.7,-2.2,20.4,%, 541.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Augsburg,09761_09772_09771,5.8,0.3,17.0,%, 851.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Jena ,16053_16074_16071_16055,7.0,-4.5,17.0,%, 599.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ingolstadt ,09161_09176_09185_09186,6.7,1.3,17.5,%, 755.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ostprignitz-Ruppin,12068,6.8,-1.5,18.6,%, 551.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Odenwaldkreis,06437,3.7,-0.1,16.5,%, 964.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hochtaunuskreis,06434,6.5,-1.6,18.2,%, 791.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Main-Kinzig-Kreis,06435,4.1,-0.3,21.6,%, 845.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Darmstadt-Dieburg,06432,6.5,1.1,22.3,%, 744.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Groß-Gerau,06433,8.1,-0.1,25.7,%, 606.3,Zunahme 
Niederschlag,ganzes Jahr,Bergstraße,06431,3.6,0.7,22.8,%, 854.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Barnim,12060,7.7,-1.9,21.3,%, 571.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Dahme-Spreewald,12061,8.1,-2.4,21.4,%, 549.8,Zunahme 
Niederschlag,ganzes Jahr,Elbe-Elster,12062,7.8,-1.1,19.9,%, 556.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Havelland,12063,7.4,-2.9,20.1,%, 530.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Märkisch-Oderland,12064,8.1,-1.1,22.7,%, 530.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberhavel,12065,6.8,-2.0,19.1,%, 559.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oberspreewald-Lausitz,12066,6.5,-0.8,21.7,%, 573.9,Zunahme 
Niederschlag,ganzes Jahr,Rheingau-Taunus-Kreis,06439,5.5,-1.4,19.3,%, 704.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Nürnberg,09564_09563_09574_09565_09573_09572_09576_09562,5.8,1.4,16.8,%, 746.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Waldshut,08337,3.9,0.2,13.8,%, 1289.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Lörrach,08336,2.3,-5.7,18.0,%, 1289.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Konstanz,08335,7.2,-0.1,22.4,%, 849.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Schwerin ,13004_13076_13074,5.4,-0.8,19.2,%, 619.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Wilhelmshaven,03405_03455,5.5,-2.7,19.5,%, 805.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Ansbach,09561_09571,5.5,3.1,15.4,%, 710.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Koblenz,07111_07137_07141_07143,4.1,-1.7,14.9,%, 802.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Biberach,08426,6.9,-0.8,17.1,%, 853.9,Zunahme 
Niederschlag,ganzes Jahr,Alb-Donau-Kreis,08425,5.8,0.2,15.5,%, 836.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Rottweil,08325,3.7,1.0,14.7,%, 1043.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Schwarzwald-Baar-Kreis,08326,2.5,-0.1,11.5,%, 1129.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Tuttlingen,08327,6.3,-0.7,18.4,%, 862.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Bayreuth ,09462_09472,3.4,-0.2,16.2,%, 868.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Diepholz,03251,4.4,-1.7,16.3,%, 684.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Mayen-Koblenz,07137,5.6,-3.0,15.9,%, 673.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Holzminden,03255,4.9,-1.6,16.1,%, 855.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Hildesheim,03254,6.1,-0.2,18.0,%, 708.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Schaumburg,03257,3.2,-1.9,14.0,%, 743.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Nienburg (Weser),03256,4.6,-1.1,16.5,%, 679.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Vogtlandkreis,14523,5.2,-1.0,14.9,%, 748.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Mittelsachsen,14522,4.3,0.2,15.0,%, 749.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Erzgebirgskreis,14521,2.7,-0.5,12.0,%, 900.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Berlin,11000,6.9,-2.8,20.0,%, 566.9,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Zwickau,14524,6.1,-1.4,17.3,%, 702.6,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Schwabach ,09565_09576_09564,5.3,2.1,15.9,%, 713.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Braunschweig,03101_03157_03154_03151_03102_03158_03103,5.6,-1.1,18.4,%, 634.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Hof ,09464_09475,3.6,-0.3,16.5,%, 843.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Kaiserslautern,07312_07335_07332,7.1,-0.4,19.6,%, 736.4,Zunahme 
Niederschlag,ganzes Jahr,Region um  München,09162_09184_09179_09174,6.2,2.2,15.9,%, 958.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Cottbus ,12052_12071,6.7,-0.0,23.3,%, 575.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Bochum,05911_05954_05913_05513_05113_05916_05562,2.6,-1.0,14.0,%, 863.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Bautzen,14625,7.2,1.0,19.5,%, 683.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Görlitz,14626,8.1,2.5,18.4,%, 667.2,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Meißen,14627,6.4,0.7,19.8,%, 597.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Amberg ,09361_09371,4.1,1.6,18.9,%, 789.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Sächsische Schweiz-Osterzgebirge,14628,5.3,1.6,15.9,%, 772.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Esslingen,08116,5.5,2.2,16.0,%, 838.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Böblingen,08115,6.3,2.3,18.7,%, 756.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Eisenach ,16056_16063_06636,4.7,-0.0,17.4,%, 731.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Düren,05358,5.1,-1.9,13.9,%, 715.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Ludwigshafen am Rhein ,07314_07311_07338_08222,8.1,0.8,25.6,%, 598.9,Zunahme 
Niederschlag,ganzes Jahr,Region um Passau ,09262_09275,7.1,2.4,19.2,%, 935.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Magdeburg ,15003_15083_15089_15086,6.9,-2.6,20.0,%, 506.5,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Straubing ,09263_09278,7.0,1.9,17.2,%, 811.8,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Coburg,09463_09473,3.5,-0.6,19.7,%, 737.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Duisburg ,05112_05114_05119_05117_05170_05158_05111,2.5,-0.7,15.4,%, 798.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Bremen ,04011_03361_03251_03401_03461_03356_03352_04012,4.8,-1.6,16.0,%, 740.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um Delmenhorst ,03401_03458_04011_03251_03461,4.2,-1.8,15.2,%, 713.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Region um  Potsdam,12054_12063_12069_11000_12051,6.5,-3.8,20.7,%, 538.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Cloppenburg,03453,4.1,-3.5,17.0,%, 775.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Aurich,03452,7.0,-2.3,18.9,%, 804.0,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Ammerland,03451,4.8,-4.4,19.1,%, 785.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Leer,03457,5.1,-4.1,18.3,%, 767.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Grafschaft Bentheim,03456,4.3,-2.0,16.7,%, 780.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Friesland,03455,5.5,-2.8,19.5,%, 802.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Emsland,03454,4.2,-2.8,16.8,%, 769.4,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Osnabrück,03459,3.4,-1.9,14.8,%, 795.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Oldenburg,03458,3.8,-2.3,14.7,%, 738.1,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Coesfeld,05558,4.0,-0.7,14.1,%, 808.3,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Potsdam-Mittelmark,12069,6.6,-4.6,21.2,%, 535.7,Tendenz zur Zunahme 
Niederschlag,ganzes Jahr,Freising,09178,7.6,1.2,18.0,%, 811.0,Tendenz zur Zunahme 
