stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,timepoint
de:03353:8000056_G,,Buchholz (Nordheide),,53.324683,9.876266,0,,0
de:03353:8000056:1:1,,Buchholz (Nordheide),Gleis 1+11,53.324534,9.87544,0,de:03353:8000056,0
de:03353:8000056:1:11,,Buchholz (Nordheide),Gleis 1+11,53.324255,9.875027,0,de:03353:8000056,0
de:03353:8000056:2:3,,Buchholz (Nordheide),Gleis 3+6,53.32462,9.875746,0,de:03353:8000056,0
de:03353:8000056:2:6,,Buchholz (Nordheide),Gleis 3+6,53.324738,9.875701,0,de:03353:8000056,0
de:03355:8000238_G,,Lüneburg,,53.249656,10.41989,0,,0
de:03355:8000238:1:1,,Lüneburg,Z 8000238,53.249534,10.419739,0,,0
de:03355:8000238:2:2,,Lüneburg,Gleis 2+3,53.249534,10.419793,0,de:03355:8000238,0
de:03355:8000238:2:3,,Lüneburg,Gleis 2+3,53.249529,10.419999,0,de:03355:8000238,0
de:03355:8000238:4:4,,Lüneburg,Gleis 4+5,53.249529,10.420053,0,de:03355:8000238,0
de:03355:8000238:4:5,,Lüneburg,Gleis 4+5,53.249529,10.420224,0,de:03355:8000238,0
de:03355:8000238:3:WEST,,Lüneburg,GWEST,53.249529,10.418176,0,de:03355:8000238,0
de:03355:8000801_G,,Bardowick,,53.290469,10.371994,0,,0
de:03355:8000801:1:1,,Bardowick,Z 8000801,53.290031,10.373305,0,de:03355:8000801,0
de:03355:8000801:2:3,,Bardowick,Gleis3,53.290627,10.371221,0,de:03355:8000801,0
de:03360:10019::1,,Bienenbüttel,Bienenbüttel,53.142127,10.484714,0,,0
de:03353:8001258,,Büsenbachtal,,53.269595,9.858592,0,,0
de:03353:8002575,,Handeloh,,53.241693,9.844711,0,,0
de:03353:8002967,,Holm-Seppensen,,53.284812,9.870008,0,,0
de:03357:53790::1,,Lauenbrück,Lauenbrück,53.19703,9.56371,0,,0
de:03355:8004913_G,,Radbruch,,53.317873,10.289618,0,,0
de:03355:8004913:1:1,,Radbruch,Gleis 2 HH,53.318084,10.289088,0,de:03355:8004913,0
de:03355:8004913:2:2,,Radbruch,Gleis 3 LG,53.317784,10.289663,0,de:03355:8004913,0
de:03353:8005640:1:1,,Sprötze,Gleis 1,53.309245,9.811759,0,de:03353:8005640,0
de:03353:8005640:2:2,,Sprötze,Gleis 2+3,53.309277,9.811912,0,de:03353:8005640,0
de:03353:8005640:2:3,,Sprötze,Gleis 2+3,53.309207,9.81201,0,de:03353:8005640,0
de:03353:8005788,,Suerhop,,53.315903,9.855154,0,,0
de:03353:8005888:1:1,,Tostedt,Gleis 1 HB,53.271882,9.731602,0,de:03353:8005888,0
de:03353:8005888:2:3,,Tostedt,Gleis 3+4,53.271855,9.731638,0,de:03353:8005888,0
de:03353:8005888:2:4,,Tostedt,Gleis 3+4,53.271775,9.731746,0,de:03353:8005888,0
de:03355:8006330,,Wendisch Evern,,53.217641,10.462781,0,,0
de:03355:8000238,,Lüneburg,,53.249969,10.419981,1,,0
de:03355:8000801,,Bardowick,,53.290595,10.371787,1,,0
de:03353:8000056,,Buchholz (Nordheide),,53.324684,9.875036,1,,0
de:03355:8004913,,Radbruch,,53.317886,10.289663,1,,0
de:03353:8005640,,Sprötze,,53.309449,9.812208,1,,0
de:03353:8005888,,Tostedt,,53.271759,9.73136,1,,0
de:03357:77680::1,,Riepe(Vahlde) Ortsmitte,Riepe(Vahlde) Ortsmitte,53.208345,9.602856,0,,0
de:03357:77680::2,,Riepe(Vahlde) Ortsmitte,Riepe(Vahlde) Ortsmitte,53.208075,9.602558,0,,0
de:03357:15037::1,,Brockel Am Sportplatz,Brockel Am Sportplatz,53.101459,9.517048,0,,0
de:03357:53793::1,,Lauenbrück Bahnhof,Lauenbrück Bahnhof,53.197154,9.563315,0,,0
de:03357:53798::1,,Lauenbrück Kohlhofsweg,Lauenbrück Kohlhofsweg,53.198762,9.561361,0,,0
de:03357:53798::2,,Lauenbrück Kohlhofsweg,Lauenbrück Kohlhofsweg,53.19882,9.561246,0,,0
de:03357:53800::2,,Lauenbrück Mitte,Lauenbrück Mitte,53.200626,9.559443,0,,0
