Land;Jahr;Anm;Insgesamt;"Kl�rgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Stand
Bayern;2004;;145225.3926586419;3955.81386023894;44981.950398403;835.4736;3652.0476;89192.6956;2607.4116000000004;28.09.2019
Bayern;2005;;161614.06838860028;3867.0902104394236;42404.59206;861.614028;5311.57101450624;107193.00130394779;1976.19977170683;26.10.2009
Bayern;2006;;190028.55811960038;3946.6348649901897;43310.65626;1273.340772;7837.50154286214;131463.7524485135;2196.67223123447;18.11.2009
Bayern;2007;;206331.15480136054;3997.24573570482;46213.184988;1885.364208;10017.2987079469;140318.0488740531;3900.01228765575;30.11.2009
Bayern;2008;;206977.89295662788;3598.438621358542;45278.2242;1969.606656;12705.6508359127;138931.38674915052;4494.5858942061295;29.04.2013
Bayern;2009;;214681.9753990594;3477.880270702225;43152.532704;2005.619544;15560.6705171435;145591.19790174539;4894.0744614683;04.02.2021
Bayern;2010;;269358.82179099997;3306.4140687999998;45110.372292;2162.243916;22917.3093682;190231.54432870002;5630.9378173;04.02.2021
Bayern;2011;;288426;3356;38688;2842;32366;204773;6401;07.03.2017
Bayern;2012;;307829.2296983504;3414.440167123288;47203.6149531953;4043.865996;38843.377272;206101.44998510132;8222.48132493047;30.12.2015
Bayern;2013;;319169.620085;3565.766467;47315.71423;4851.27792;40581.16423;213156.83857000002;9698.858667999999;21.21.2015
Bayern;2014;;314707.12540160003;3638.1912616;40534.57297;6491.179764;45978.75068;205260.830084;12803.600642000001;21.11.2018
Bayern;2015;;330370.79217470007;3630.1094107;40343.21545;10022.6336;48836.93321;213724.64012;13813.260384;21.11.2018
Bayern;2016;;346265.68420623004;3638.54919123;43703.09419;11645.47854;48328.98998;224618.53596;14331.036345;21.11.2018
Bayern;2017;;359518.41988499;3748.15797699;43775.34328;16647.94228;50243.75837;228395.14217999997;16708.075797999998;21.11.2019
Bayern;2018;;360560.92744056997;3902.5120465699997;38304.53709;16564.44244;53153.9248;233150.423114;15485.08795;04.02.2021
Bayern;2019;;375733.63185013994;3743.92787014;42931.00551;17981.04066;53786.78536;240306.16971000002;16984.70274;14.01.2022
Bayern;2020;;;;;;;;;
Berlin;1990;;2251.4;572;0;0;0;1679.4;0;10.03.2022
Berlin;1991;;2578;263;0;0;0;2315;0;10.03.2022
Berlin;1992;;2522.8;215;0;0;0;2307.8;0;10.03.2022
Berlin;1993;;2117.2;215;0;0;0;1902.2;0;10.03.2022
Berlin;1994;;2153.4;217;0;0;0;1936.4;0;10.03.2022
Berlin;1995;;1837.8;193;0;0;0;1644.8;0;10.03.2022
Berlin;1996;;1678.8;165;0;0;0;1513.8;0;10.03.2022
Berlin;1997;;1305;141;0;0;0;1164;0;10.03.2022
Berlin;1998;;1921.1598374;161.6724;0;0;0;1759.4874374;0;10.03.2022
Berlin;1999;;2140.8879712;141.0984;0;0;0;1999.7895712;0;10.03.2022
Berlin;2000;;2454.7493231999997;139.4028;0;0;0;2315.3465232;0;10.03.2022
Berlin;2001;;2242.332075400003;123.134246800003;0;0;0;2119.1978286;0;10.03.2022
Berlin;2002;;2242.5070266;124.2324;0;0;0;2118.2746266;0;10.03.2022
Berlin;2003;;2367.1286;1.6884;0;0;7.2;2296.2266;62.0136;10.03.2022
Berlin;2004;;3211.3866;0;0;0;44.1936;3104.0418;63.1512;10.03.2022
Berlin;2005;;3713.416052;0;0;0;65.6064;3419.985128;227.824524;10.03.2022
Berlin;2006;;5406.7002;0;0;0;69.0192;5267.881;69.8;10.03.2022
Berlin;2007;;6247.365735;144.308;0;0;73.3752;5927.082535;102.6;10.03.2022
Berlin;2008;;6398.7361123;146.548;0;8.2188;85.752;5914.6173123;243.6;10.03.2022
Berlin;2009;;8301.72238830359;136.172;0;18.8352;111.276;7784.83918830359;250.6;10.03.2022
Berlin;2010;;9676.81500800807;26.065;0;17.2279942868802;159.177492;7093.79259672119;2380.551925;10.03.2022
Berlin;2011;;9437.112724087858;27.327;0;20.972497468098;240.393528;6592.08014861976;2556.33955;10.03.2022
Berlin;2012;;10560.688892006809;26.101;0;19.2527853881279;280.302696;7789.47971061868;2445.5527;10.03.2022
Berlin;2013;;11330.955001529124;22.735;0;17.9688197621226;279.351216;8287.112545767;2723.78742;10.03.2022
Berlin;2014;;11237.840525495867;18.31;0;21.4707430309174;315.934992;8081.33537046495;2800.78942;10.03.2022
Berlin;2015;;11200.314084999789;24.298;0;43.8103919781222;329.9112;10278.8651223611;523.429370660568;10.03.2022
Berlin;2016;;11221.474028942535;18.669;0;69.8374298827129;328.734;10263.448334528997;540.785264530825;10.03.2022
Berlin;2017;;11569.63793924856;16.516;0;100.3464;328.1976;10522.153944259284;602.423994989276;10.03.2022
Berlin;2018;;13928.487093703756;13.437;0;102.286754191693;423.345;12744.499457679458;644.918881832606;10.03.2022
Berlin;2019;;14795.581513567968;271.253150684931;0;106.822549517522;389.9114;13346.1705876232;681.423825742315;10.03.2022
Berlin;2020;" p )";14517.497827680467;13.4;0;100.642762823768;465.9624;13207.892664856696;729.6;10.03.2022
Brandenburg;1990;;964;373;18;0;0;573;0;10.03.2022
Brandenburg;1991;;2268;439;18;0;0;1241;570;10.03.2022
Brandenburg;1992;;2554;401;18;0;0;1149;986;10.03.2022
Brandenburg;1993;;2784;464;14;0;0;1028;1278;10.03.2022
Brandenburg;1994;;8067.26399999997;464;14;1801.26399999997;0;913;4875;10.03.2022
Brandenburg;1995;;8408.3392;482;56.3472;133.992;0;2574;5162;10.03.2022
Brandenburg;1996;;2809.342;534;64.35;187.992;0;1659;364;10.03.2022
Brandenburg;1997;;3363.504;613;43.6644;541.8396;0;2077;88;10.03.2022
Brandenburg;1998;;7704.022;882;49.1904;639.8316;0;6024;109;10.03.2022
Brandenburg;1999;;9966.63335985276;983.743912;46.9152;884.7468;0;7942.22744785276;109;10.03.2022
Brandenburg;2000;;10941.234208599999;1183.7549136;54.2376;1758.2328;0;7836.008895000001;109;10.03.2022
Brandenburg;2001;;13666.9389185439;1313.4560539511;62.2764;2561.9832;2.7;6074.6517826087;3651.8714819841;10.03.2022
Brandenburg;2002;;18867.09258669006;739.685988429162;74.97;4792.0248;4.7268;12980.3381582609;275.34684;10.03.2022
Brandenburg;2003;;34873.66019545415;856.556428724695;47.7252;7374.79343449985;68.1468;26376.3943322296;150.044;10.03.2022
Brandenburg;2004;;41016.09993217455;1767.66652012735;42.2208;11401.0114989733;70.6776;27578.7515130739;155.772;10.03.2022
Brandenburg;2005;;48686.995080902525;2874.74233720103;55.1124;12778.0197044335;85.3512;32756.495439268;137.274;10.03.2022
Brandenburg;2006;;55780.107757865335;3038.98434506443;53.0316;15240.1909258879;115.9504;37031.679868913;300.270618;10.03.2022
Brandenburg;2007;;75582.59967610009;3263.27431374088;53.442;22416.4908701418;156.9468;49152.2090922174;540.2366;10.03.2022
Brandenburg;2008;;68437.14907492902;3016.99711226142;45.3744;22467.892984785;304.0672;41745.0373778826;857.78;10.03.2022
Brandenburg;2009;;74844.08942872306;3010.63322409645;39.8268;22405.0868761553;486.802;48017.2085284713;884.532;10.03.2022
Brandenburg;2010;;91442.41773369422;2900.59601072923;52.538508;23058.6128867361;1433.285892;63022.2116362289;975.1728;10.03.2022
Brandenburg;2011;;102603.953663015;2881.677185009;46.6812;28444.087831656;3210.1632;66937.30424635;1084.04;10.03.2022
Brandenburg;2012;;102195.15582729282;2012.57744657534;99.178992;27609.2190947175;6314.309856;64764.584438;1395.286;10.03.2022
Brandenburg;2013;;99137.31668949626;1878.41612328767;83.416104;27659.3608160755;8629.220412;59399.7032341331;1487.2;10.03.2022
Brandenburg;2014;;102814.33353225123;1814.92687671233;77.0148;29277.4431052094;10056.2292;60002.0387503295;1586.6808;10.03.2022
Brandenburg;2015;;106868.92545371501;1616.44770328767;65.916;34579.8009123163;10966.2876;57968.3932424926;1672.07999561844;10.03.2022
Brandenburg;2016;;106543.6354193709;1575.8076115068488;69.3396;32748.3116406966;10822.1688;59666.325381441035;1661.6823857263898;10.03.2022
Brandenburg;2017;;117324.13707001493;1561.764739726027;77.5008;42591.431542461;11026.548;60164.947425019076;1901.9445628088201;10.03.2022
Brandenburg;2018;;119083.22371846247;1500.374602739726;23.958;42616.2003692308;13593.4596;59326.646382422885;2022.58476406904;10.03.2022
Brandenburg;2019;;128501.06486421879;1536.979788082192;46.1052;48057.8817050785;13695.0804;63019.34209175968;2145.67567929843;10.03.2022
Brandenburg;2020;;;;;;;;;
Bremen;1990;;2451.4489428638;353.57888797429;0;0.169092;0;2097.7009628895103;0;18.11.2020
Bremen;1991;;2616.3740122355994;378.753936863263;0;0.828;0;2236.7920753723365;0;25.06.2019
Bremen;1992;;2444.2090505108863;384.565541420313;0;5.9252;0;2053.7183090905733;0;25.06.2019
Bremen;1993;;2688.204062919316;403.198482951066;0;10.821528;0.0828;2274.10125196825;0;25.06.2019
Bremen;1994;;2270.6582909513745;370.955929254705;0;20.377656;0.141192;1879.1835136966697;0;13.06.2019
Bremen;1995;;2781.451245997472;329.559188797992;0;20.826414;0.1601748;2430.90546839948;0;13.06.2019
Bremen;1996;;2740.64741887723;319.81287255207;0;18.4181724;0.1614348;2402.2549391251596;0;13.06.2019
Bremen;1997;;2759.613076200355;376.353538489335;0;23.202882;4.9322628;2355.12439291102;0;13.06.2019
Bremen;1998;;2821.955453470065;315.921928913425;0;39.976308;5.138874;2449.8702665566398;11.048076;13.06.2019
Bremen;1999;;3068.272307945935;323.700033766625;0;47.8361376;6.8426964;2678.8450401793098;11.0484;13.06.2019
Bremen;2000;;3147.491481030847;319.058549119197;0;60.1392816;8.1583236;2749.08692671165;11.0484;18.06.2019
Bremen;2001;;3090.753618932116;327.330260316186;0;45.9807156;10.003536;2694.2915110159297;13.147596;18.06.2019
Bremen;2002;;3257.226282917959;318.163825706399;0;71.5660992;12.028374;2842.32038801156;13.147596;18.06.2019
Bremen;2003;" LAK3)";4441.33846261562;299.096671796437;0;137.994878815053;15.664176;3975.70357469026;12.8791613138702;10.05.2022
Bremen;2004;" LAK3)";3755.319886272295;304.337221274538;0;187.56567714271;16.5674463207912;3233.73423198755;13.1153095467056;10.05.2022
Bremen;2005;" LAK3)";6152.447865887508;303.006925308406;0;256.187801545261;17.2070524675381;5562.90160844824;13.1444781180622;10.05.2022
Bremen;2006;" LAK3)";6184.376606311323;313.543274411756;0;307.164891184948;21.44979;5530.66245390982;11.5561968047983;10.05.2022
Bremen;2007;" LAK3)";6466.403156005996;311.307363398385;0;445.073724613004;13.3588302393118;5682.84288744492;13.8203503103751;10.05.2022
Bremen;2008;" LAK3)";7464.916271636369;329.92926597449;0;537.590259705315;16.6396463168882;6566.22191864315;14.5351809965258;10.05.2022
Bremen;2009;" LAK3)";8142.321475764844;317.923852307828;0;568.336335782104;21.2251831247609;7219.10547804196;15.730626508192;10.05.2022
Bremen;2010;" LAK3)";8905.043850029879;341.072492121466;0;605.757736654365;36.2133153536309;7902.49273076914;19.5075751312781;10.05.2022
Bremen;2011;" LAK3)";8450.150070571019;302.04;0;920.996306176078;81.4579092;7124.90127165407;20.7545835408708;10.05.2022
Bremen;2012;" LAK3)";8909.980962159032;310.273694496;85.1436;939.46306651952;108.113526;7421.5497518401;45.4373233034125;10.05.2022
Bremen;2013;" LAK3)";9887.398182632222;323.195376685904;151.2324;959.421544937402;127.6299648;8272.29482462029;53.6240715886255;10.05.2022
Bremen;2014;" LAK3)";11858.07992271708;300.18697562016;143.496;1060.84895943512;153.972610126662;10140.9747791492;58.6005983859373;10.05.2022
Bremen;2015;" LAK3)";10913.628637271995;322.514710038216;118.386;1249.89106633706;174.027816;8987.83707216862;60.9719727280993;10.05.2022
Bremen;2016;" LAK3)";10333.932928907403;319.502;133.3152;1043.50577021484;177.2711388;8589.58524266757;70.7535772249944;06.04.2022
Bremen;2017;" LAK3)";10332.969834401569;319.633;138.9744;1168.36827985465;179.9970192;8446.897499284498;79.0996360624193;03.02.2022
Bremen;2018;" LAK3)";9932.969268125793;324.7414383561644;110.2788;1234.1147990182;185.821416;7996.776828349957;81.2359864014709;14.12.2021
Bremen;2019;;9398.68880525406;310.82943835616436;106.6932;1503.46039165055;194.195255627569;7182.041913635566;101.468605984214;14.12.2021
Bremen;2020;" p)";9569.805690749628;324.704;104.94;1498.8808940788;205.800593106445;7314.983181808519;120.497021755864;22.06.2022
Hamburg;1990;" LAK3)";1958.3958768575699;586.16;0;0;0;1372.23587685757;0;30.06.2022
Hamburg;1991;;2033.9751999999999;644.776;0;0;0;1389.1992;0;30.06.2022
Hamburg;1992;;1957.4494817457798;586.16;0;0;0;1371.28948174578;0;30.06.2022
Hamburg;1993;;1959.3054709346998;586.16;0;0;0;1373.1454709347;0;30.06.2022
Hamburg;1994;;1957.5726623327;586.16;0;0;0;1371.4126623327;0;30.06.2022
Hamburg;1995;;2460.2;610;0;7;0;1843.2;0;30.06.2022
Hamburg;1996;;2486.6;635;0;36;0;1815.6;0;30.06.2022
Hamburg;1997;;2651.2;626;0;53;0;1972.2;0;30.06.2022
Hamburg;1998;;;;;;;;;
Hamburg;1999;;;;;;;;;
Hamburg;2000;;;;;;;;;
Hamburg;2001;;;;;;;;;
Hamburg;2002;;;;;;;;;
Hamburg;2003;" LAK3)";5426.154503819419;752.3239;1.5984;159.021609384647;44.49672;4366.405474434773;102.3084;30.06.2022
Hamburg;2004;" LAK3)";6923.086822530783;763.7449;2.52;174.612194621228;48.28626;5829.739467909556;104.184;30.06.2022
Hamburg;2005;" LAK3)";8534.596187169613;726.723;2.3652;164.7801578354;52.7859;7481.738329334212;106.2036;30.06.2022
Hamburg;2006;" LAK3)";12688.916588890579;769.1265794520548;2.124;161.29520295203;58.5135;11599.357306486496;98.5;30.06.2022
Hamburg;2007;" LAK3)";14366.141058117331;746.725444416012;2.7432;195.286764705882;69.15942;13243.726228995436;108.5;30.06.2022
Hamburg;2008;" LAK3)";12721.4296281453;721.5614468159705;2.1708;187.500306685749;83.40456042;11552.136914223582;174.6556;30.06.2022
Hamburg;2009;" LAK3)";13362.573170936543;702.3344597571182;1.692;178.992558897295;101.65044042;12198.24204934854;179.66166251359;30.06.2022
Hamburg;2010;" LAK3)";12785.888000963267;738.6892799681459;1.895472;222.730261606866;119.027556;11502.287574221398;201.257857166857;30.06.2022
Hamburg;2011;" LAK3)";12258.672659376518;747.8808602739726;1.799172;299.522545197455;140.232492;10841.091623305249;228.145966599841;30.06.2022
Hamburg;2012;" LAK3)";12664.745766494369;782.4564656164384;1.662336;299.871218616044;184.367664;11103.277296511711;293.110785750176;30.06.2022
Hamburg;2013;" LAK3)";11483.52181705226;740.4058690410959;1.830168;275.214357713583;197.84502;9953.671441766739;314.554960530843;30.06.2022
Hamburg;2014;" LAK3)";12515.024222467931;766.8631050684933;1.317348;307.594621266184;207.265068;10892.83846263867;339.145617494584;30.06.2022
Hamburg;2015;" LAK3)";12625.563692777458;790.9523550684931;1.657224;389.942134023343;225.569916;10857.617140087079;359.824923598544;30.06.2022
Hamburg;2016;" LAK3)";11834.95613669737;800.4512205479452;1.730484;329.523743096748;223.742664;10100.000882142085;379.507142910594;30.06.2022
Hamburg;2017;" LAK3)";12220.303439856925;798.3108806849315;2.386296;556.433208469055;221.37984;10239.558637983953;402.23457671898603;30.06.2022
Hamburg;2018;" LAK3)";13240.863372676913;816.1280821917808;1.2708;769.371112929624;245.2926;10982.274286703214;426.526490852294;30.06.2022
Hamburg;2019;" LAK3)";13247.113839327156;840.8664285714286;1.3212;869.150707235168;242.092;10841.634925862572;452.048577657988;30.06.2022
Hamburg;2020;" p)";13301.168115395396;865.5045714285714;1.1268;848.06044014545;253.5204;10844.971210963853;487.984692857523;30.06.2022
Hessen;1990;;8336;1188;643;0;0;6505;0;31.07.2007
Hessen;1991;;8834;1146;558;0;0;7130;0;08.03.2007
Hessen;1992;;9039;1674;774;0;0;6591;0;09.06.2009
Hessen;1993;;9024;1951;663;0;0;6410;0;21.09.2009
Hessen;1994;;9258;1879;848;0;0;6531;0;12.05.2003
Hessen;1995;;9532;0;1026;0;0;8506;0;06.03.2006
Hessen;1996;;7811;0;795;0;0;7016;0;06.03.2006
Hessen;1997;;8465;0;727;0;0;7738;0;03.12.2002
Hessen;1998;;8586;0;878;0;0;7708;0;03.12.2002
Hessen;1999;;7979;0;904;0;0;7075;0;03.12.2002
Hessen;2000;;20157;1886;1220;778;0;16273;0;01.10.2008
Hessen;2001;;24495;2226;1663.2;1000.8;0;19605;0;01.10.2008
Hessen;2002;;25163;3108;1397;1318;0;19340;0;01.10.2008
Hessen;2003;;31149;3005;1047;1323;482;24959;333;06.02.2014
Hessen;2004;;34076;3293;1227;1653;677;26886;340;02.03.2015
Hessen;2005;;38494;2582;1417;1821;791;31571;312;16.03.2009
Hessen;2006;;50600;3090;1415;2082;918;42752;343;16.03.2009
Hessen;2007;;50852;2692;1728;2526;1220;42226;460;30.11.2010
Hessen;2008;;52618;2418;1614;2457;1633;43507;989;19.05.2011
Hessen;2009;;54222;2358;1651;2389;2099;44702;1023;02.04.2012
Hessen;2010;;67986.07085192142;2093;1897;2412.45894184293;3123;57323.6119100785;1137;23.01.2013
Hessen;2011;;68966;2202;1261;3180;4837;56177;1309;16.12.2013
Hessen;2012;;71178.70199999999;1698.485;1148.18;3701.145;6161.684;56642.251;1826.957;18.03.2015
Hessen;2013;;73964.32993097164;1592.14043;1411.688664;4412.007144;6637.851216;57901.90542;2008.73705697165;01.12.2016
Hessen;2014;;73955.14393074915;1597.40375136986;1065.24;5143.9005;7201.049148;56722.206996901;2225.34353447829;25.01.2017
Hessen;2015;;79163.09162793146;1731.96207232877;1072.463256;7578.7092;7668.9972;58703.7497404544;2407.21015914829;04.04.2018
Hessen;2016;;82710.85933299112;1683.3171743835621;1136.0196;7934.8392;7508.9772;61843.56555176346;2604.1406068441197;13.11.2018
Hessen;2017;;86436.28845644627;1699.2644597260269;1055.2788;11644.6284;7575.5916;61548.53192293103;2912.9932737892;19.02.2020
Hessen;2018;;95443.90882533562;1730.643479452055;728.323096100434;13800.5010612;8364.4282;67636.72394818589;3183.28904039723;09.12.2020
Hessen;2019;" p)";96089.901706892;1890.126851506849;819.413887182085;15218.1948091603;8446.82772431928;66230.99528301535;3484.34315170812;28.01.2021
Hessen;2020;;;;;;;;;
Mecklenburg-Vorpommern;1990;;1574.2;23;7.2;0;0;1544;0;03.07.2018
Mecklenburg-Vorpommern;1991;;784.2;23;7.2;0;0;754;0;03.07.2018
Mecklenburg-Vorpommern;1992;;444.2;6;7.2;0;0;431;0;03.07.2018
Mecklenburg-Vorpommern;1993;;1300;13;22;0;0;1265;0;03.07.2018
Mecklenburg-Vorpommern;1994;;1587;29;18;629;0;826;85;03.07.2018
Mecklenburg-Vorpommern;1995;;2428;157;18;332;0;1776;145;03.07.2018
Mecklenburg-Vorpommern;1996;;2748;157;18;460;0;2012;101;03.07.2018
Mecklenburg-Vorpommern;1997;;2215.5286;270.2986;7.65;697.78;0;580;659.8;03.07.2018
Mecklenburg-Vorpommern;1998;;2966.2054;420.6422;18.1656;1041.3576;0;466;1020.04;03.07.2018
Mecklenburg-Vorpommern;1999;;7772.403751048;253.093696048;25.0164;2499.6528;0;4947.9092550000005;46.7316;03.07.2018
Mecklenburg-Vorpommern;2000;;7441.353644;1074.8456;14.832;2405.1312;0;3889.481244;57.0636;03.07.2018
Mecklenburg-Vorpommern;2001;;7772;253;25;2500;0;4947;47;03.07.2018
Mecklenburg-Vorpommern;2002;;11054.4;2126.3;35.2;4086.7;0;4734.3;71.9;03.07.2018
Mecklenburg-Vorpommern;2003;;12377.7;793.2;27.9;4657.7;59;6646.8;193.1;03.07.2018
Mecklenburg-Vorpommern;2004;;17527.1;828;20.5;6131;65.8;10285;196.8;03.07.2018
Mecklenburg-Vorpommern;2005;;21209.300000000003;1020.7;20.9;6387.1;90;13476.2;214.4;03.07.2018
Mecklenburg-Vorpommern;2006;;27817.6;1031.9;22.2;6109.3;121.1;20304.8;228.3;03.07.2018
Mecklenburg-Vorpommern;2007;;35128.7;995.6;29.5;9119.9;150.5;24570.1;263.1;03.07.2018
Mecklenburg-Vorpommern;2008;;46662.4;934.3;25.3;9289.8;185.5;35787.2;440.3;03.07.2018
Mecklenburg-Vorpommern;2009;;48528.700000000004;887.3;15;8713.8;293.2;38175.3;444.1;03.07.2018
Mecklenburg-Vorpommern;2010;;46780.5;807.4;24.4;9186.3;529.7;35738.7;494;03.07.2018
Mecklenburg-Vorpommern;2011;;54108.1;693.1;30.6;11045.2;1121.8;40720;497.4;03.07.2018
Mecklenburg-Vorpommern;2012;;63945.3;607;23.9;11520.8;1883.7;49238.9;671;03.07.2018
Mecklenburg-Vorpommern;2013;;67070.5;634.6;27.5;13277.9;3277.7;49154.8;698;07.01.2021
Mecklenburg-Vorpommern;2014;;74334.40000000001;595.6;18.9;15840.7;4124.1;53056;699.1;07.01.2021
Mecklenburg-Vorpommern;2015;;79306.82833364584;767.117785255577;24.06474;21993.727716;4568.42881259051;51186.97545458189;766.513825217865;07.01.2021
Mecklenburg-Vorpommern;2016;;80673.03214015362;802.10761159784;17.855496;21661.1748;4829.19554392701;52559.20664036866;803.492048260095;07.01.2021
Mecklenburg-Vorpommern;2017;;69045.59898384659;684.2691604486299;29.1276;27537.738642;4853.7144;35083.228613909465;857.520567488516;15.07.2021
Mecklenburg-Vorpommern;2018;;72842.98969494188;634.510405479452;28.8;30234.848795622;6164.0532;34865.91075919078;914.866534649643;15.07.2021
Mecklenburg-Vorpommern;2019;;;;;;;;;
Mecklenburg-Vorpommern;2020;;;;;;;;;
Niedersachsen;1990;;12020.770151160315;1104;626.570151160315;0;0;10290.2;0;
Niedersachsen;1991;;10669.0830445413;1104;608.483044541299;0;0;8956.6;0;
Niedersachsen;1992;;;;;;;;;
Niedersachsen;1993;;;;;;;;;
Niedersachsen;1994;;10162.069795744681;1199.55;835.276595744681;0;0;8127.2432;0;
Niedersachsen;1995;;;;;;;;;
Niedersachsen;1996;;6516.2528;1279.52;644;2008;0;2584.7328;0;
Niedersachsen;1997;;;;;;;;;
Niedersachsen;1998;;19300.9850200433;1820.2414460433;875.214;4560.1632;0;11451.69995;593.666424;
Niedersachsen;1999;;;;;;;;;
Niedersachsen;2000;;25335.17946701331;2050.39734301331;895.2618;9299.772;0;12677.3491;412.399224;
Niedersachsen;2001;;;;;;;;;
Niedersachsen;2002;;31811.9392157977;3793.4860159809;880.9462;12999.7116;0;13538.6127758168;599.182624;
Niedersachsen;2003;;;;;;;;;
Niedersachsen;2004;LAK3);76808.6943979;10388.72115;1110.634523;26329.03511;955.509979;37549.377;475.4166359;28.02.2022
Niedersachsen;2005;;;;;;;;;
Niedersachsen;2006;LAK3);118872.7052011;20988.12327;1036.974692;29602.89036;848.9930754;65894.80449;500.9193137;28.02.2022
Niedersachsen;2007;;;;;;;;;
Niedersachsen;2008;LAK3);158162.9347850621;2352.162780135831;1044.0409104;38813.7078473781;1596.000608;113141.82263914817;1215.2;28.02.2022
Niedersachsen;2009;LAK3);166337.58861094463;2335.4614864707573;1145.595798;36337.1282877344;2111.79529959975;123162.3520823325;1245.25565680721;28.02.2022
Niedersachsen;2010;LAK3);187777.57163235755;2283.430187489749;1316.0589192;35671.5704309301;4046.3408182554;143100.3517374231;1359.81953905918;28.02.2022
