,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,2.1 Primärenergieverbrauch nach Energieträgern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energieträger,Einheit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,
,,, Primärenergieverbrauch nach Energieträgern in PJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Primärenergieverbrauch nach Energieträgern in %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steinkohle,%,15.5,15.9,15.3,14.9,15.1,14.4,14.2,14.1,14.2,13.7,14.0,13.3,13.4,13.8,13.1,12.4,13.2,14.2,12.5,11.1,12.1,12.6,12.8,13.3,13.3,13.0,12.6,11.1,10.9,8.5,7.5,,,,,,,,,,,,,,,,,,,,,,
,Braunkohle,%,21.5,17.2,15.2,13.9,13.1,12.2,11.4,10.9,10.4,10.3,10.8,11.1,11.5,11.2,11.3,11.0,10.6,11.4,10.8,11.1,10.6,11.5,12.2,11.8,11.9,11.8,11.2,11.1,11.3,9.1,8.0,,,,,,,,,,,,,,,,,,,,,,
,Mineralöle,%,35.1,38.0,39.3,40.2,40.1,39.9,39.4,39.4,39.8,39.1,38.2,38.0,37.3,36.2,35.7,35.5,34.5,32.6,34.1,34.3,32.9,33.3,33.7,33.5,34.1,33.9,33.8,34.5,33.9,35.2,34.3,,,,,,,,,,,,,,,,,,,,,,
,Gase,%,15.5,16.6,16.7,17.7,18.2,19.7,21.3,20.6,20.9,21.1,20.8,21.5,21.9,21.9,22.0,22.4,22.4,22.5,22.5,22.5,22.4,21.5,21.8,22.2,20.3,21.0,22.7,23.4,23.6,25.2,26.5,,,,,,,,,,,,,,,,,,,,,,
,"Erdgas, Erdölgas",%,15.4,16.5,16.6,17.6,18.1,19.6,21.2,20.5,20.8,21.0,20.7,21.4,21.8,21.8,21.9,22.3,22.3,22.5,22.4,22.5,22.3,21.4,21.7,22.1,20.2,20.9,22.7,23.4,23.5,25.1,26.4,,,,,,,,,,,,,,,,,,,,,,
,Erneuerbare Energien,%,1.3,1.4,1.4,1.6,1.8,1.9,1.8,2.4,2.6,2.8,2.9,2.9,3.2,3.8,4.5,5.3,6.3,7.9,8.0,8.9,9.9,10.8,10.3,10.8,11.5,12.4,12.4,13.3,13.7,14.9,16.5,,,,,,,,,,,,,,,,,,,,,,
,Sonstige Energieträger,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.9,1.1,1.4,1.1,1.1,1.4,1.7,1.7,1.9,1.7,1.5,1.7,1.7,1.7,1.7,1.6,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,
,Außenhandelssaldo Strom,%,0.0,-0.0,-0.1,0.0,0.1,0.1,-0.1,-0.1,-0.0,0.0,0.1,0.1,0.0,-0.2,-0.2,-0.2,-0.5,-0.5,-0.6,-0.4,-0.4,-0.2,-0.6,-0.8,-0.9,-1.3,-1.3,-1.4,-1.3,-0.9,-0.6,,,,,,,,,,,,,,,,,,,,,,
,Kernenergie,%,11.2,11.0,12.1,11.7,11.6,11.8,12.0,12.7,12.2,13.0,12.9,12.7,12.5,12.3,12.5,12.2,12.3,10.8,11.3,10.9,10.8,8.7,8.1,7.7,8.0,7.6,6.8,6.2,6.3,6.4,5.9,,,,,,,,,,,,,,,,,,,,,,
,Insgesamt,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,
,,," Primärenergieverbrauch nach Energieträgern, Veränderungen gegenüber dem Vorjahr in %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steinkohle,%,n/a,1.0,-5.8,-2.6,0.1,-3.8,1.5,-1.2,-0.3,-4.5,2.8,-3.6,-1.1,4.3,-5.0,-5.3,8.7,2.7,-10.8,-16.9,14.6,0.0,0.6,6.6,-4.4,-1.7,-2.1,-11.3,-4.9,-24.1,-17.2,,,,,,,,,,,,,,,,,,,,,,
,Braunkohle,%,n/a,-21.7,-13.2,-8.9,-6.1,-6.8,-2.7,-5.5,-5.1,-2.7,5.3,5.3,1.8,-1.4,0.5,-3.2,-1.3,2.4,-3.6,-3.0,0.3,3.5,5.1,-1.0,-3.4,-0.5,-3.5,-0.2,-1.8,-21.5,-17.7,,,,,,,,,,,,,,,,,,,,,,
,Mineralöle,%,n/a,6.1,1.5,2.1,-0.9,-0.1,2.1,-1.0,0.4,-3.1,-1.8,1.4,-3.5,-1.8,-1.4,-0.9,-0.9,-9.7,6.0,-5.5,1.0,-3.4,0.0,2.2,-2.9,-0.0,1.7,2.3,-4.7,1.3,-9.4,,,,,,,,,,,,,,,,,,,,,,
,Gase,%,n/a,5.1,-1.0,5.8,1.7,9.0,11.8,-4.4,0.9,-0.3,-0.9,5.4,-0.0,1.2,0.5,1.6,2.0,-3.8,0.9,-5.7,4.4,-8.1,0.3,4.8,-13.1,4.1,10.3,3.2,-2.1,4.0,-2.3,,,,,,,,,,,,,,,,,,,,,,
,"Erdgas, Erdölgas",%,n/a,5.1,-1.1,5.8,1.8,9.0,11.9,-4.5,0.9,-0.3,-0.8,5.5,-0.2,1.2,0.5,1.6,1.9,-3.7,1.0,-5.7,4.3,-8.2,0.3,4.8,-13.0,4.1,10.3,3.4,-2.2,4.0,-2.4,,,,,,,,,,,,,,,,,,,,,,
,Erneuerbare Energien,%,n/a,0.5,5.0,10.0,10.9,8.7,-1.8,27.7,10.1,6.4,3.3,3.8,5.4,23.1,15.9,18.3,22.0,19.0,2.7,4.7,17.7,3.5,-5.3,8.2,1.3,8.2,2.0,7.2,0.3,5.7,3.0,,,,,,,,,,,,,,,,,,,,,,
,Sonstige Energieträger,%,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-15.5,218.8,18.9,28.2,-25.8,1.5,26.8,11.1,8.6,4.7,-9.4,-9.9,8.6,-0.8,5.2,-0.5,-8.7,2.0,-1.8,,,,,,,,,,,,,,,,,,,,,,
,Außenhandelssaldo Strom,%,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,
,Kernenergie,%,n/a,-3.5,7.7,-3.4,-1.5,1.9,4.9,5.4,-5.1,5.2,-0.2,0.9,-3.8,0.1,1.2,-2.4,2.6,-16.0,5.9,-9.3,4.2,-23.2,-7.9,-2.2,-0.2,-5.5,-7.8,-9.8,-0.4,-1.2,-14.2,,,,,,,,,,,,,,,,,,,,,,
,Insgesamt,%,n/a,-2.0,-2.0,-0.1,-0.9,0.6,3.3,-0.9,-0.6,-1.4,0.5,1.9,-1.7,1.2,-0.1,-0.2,1.9,-4.3,1.3,-5.9,5.1,-4.3,-1.1,2.8,-4.6,0.6,1.7,0.2,-2.9,-2.5,-7.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berichtsjahre 1990 bis 2019: Endgültige Angaben; Berichtsjahr 2020: Vorläufige Daten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sonstige Energieträger: Nicht-erneuerbare Abfälle, Sonstige Energieträger und Außenhandelssaldo Fernwärme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zum Inhaltsverzeichnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
