,AGS,Name,Bundesland,kg_per_person_2016,kg_per_person_2020,waste_rank,waste_third
0,0,Deutschland,Deutschland,123.40312669209378,127.88392803316977,0.0,
1,1,Schleswig-Holstein,Schleswig-Holstein,117.645630040466,122.78713445269892,7.0,mittleren Drittel
2,2,Hamburg,Hamburg,51.31354953884088,55.292964342896376,15.0,schlechtesten Drittel
3,3,Niedersachsen,Niedersachsen,163.23148979603394,166.17344008268464,2.0,besten Drittel
4,4,Bremen,Bremen,85.83976792736091,83.54579271609839,13.0,schlechtesten Drittel
5,5,Nordrhein-Westfalen,Nordrhein-Westfalen,116.22959066746414,116.27624672465087,9.0,mittleren Drittel
6,6,Hessen,Hessen,138.45691546619008,132.71882429700594,5.0,besten Drittel
7,7,Rheinland-Pfalz,Rheinland-Pfalz,171.97808292218522,189.7146953523956,1.0,besten Drittel
8,8,Baden-Württemberg,Baden-Württemberg,140.2922764128539,143.71969918516933,4.0,besten Drittel
9,9,Bayern,Bayern,153.39464815307323,154.2378062771272,3.0,besten Drittel
10,10,Saarland,Saarland,135.6372491473946,126.05603100028354,6.0,mittleren Drittel
11,11,Berlin,Berlin,23.86938679601548,36.244762680372304,16.0,schlechtesten Drittel
12,12,Brandenburg,Brandenburg,66.45626958192098,88.13936867041659,12.0,schlechtesten Drittel
13,13,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,74.59361733038466,94.2044011139986,11.0,mittleren Drittel
14,14,Sachsen,Sachsen,55.997342337894985,79.78671614894078,14.0,schlechtesten Drittel
15,15,Sachsen-Anhalt,Sachsen-Anhalt,122.93426679998498,122.28044044896004,8.0,mittleren Drittel
16,16,Thüringen,Thüringen,105.39736289969824,116.04834742531142,10.0,mittleren Drittel
17,1001,Flensburg,Schleswig-Holstein,69.47113185103852,67.27155469566571,357.0,schlechtesten Drittel
18,1002,Kiel,Schleswig-Holstein,65.47015248079339,66.23249702961465,360.0,schlechtesten Drittel
19,1003,Lübeck,Schleswig-Holstein,86.73262209753037,102.999360655282,297.0,schlechtesten Drittel
20,1004,Neumünster,Schleswig-Holstein,133.94829317269077,198.2479194042926,70.0,besten Drittel
21,1051,Dithmarschen,Schleswig-Holstein,131.371668164121,139.32353228118365,203.0,mittleren Drittel
22,1053,Herzogtum Lauenburg,Schleswig-Holstein,114.44507671880366,132.21559411906483,223.0,mittleren Drittel
23,1054,Nordfriesland,Schleswig-Holstein,39.05387870923929,59.23528391176629,373.0,schlechtesten Drittel
24,1055,Ostholstein,Schleswig-Holstein,57.45145981584857,64.85281928858934,364.0,schlechtesten Drittel
25,1056,Pinneberg,Schleswig-Holstein,107.48326911377002,109.3208445684911,285.0,schlechtesten Drittel
26,1057,Plön,Schleswig-Holstein,135.1095157067046,134.56201247748407,216.0,mittleren Drittel
27,1058,Rendsburg-Eckernförde,Schleswig-Holstein,183.32800904761385,192.25883937182684,82.0,besten Drittel
28,1059,Schleswig-Flensburg,Schleswig-Holstein,124.87606009512544,141.04822671936915,201.0,mittleren Drittel
29,1060,Segeberg,Schleswig-Holstein,164.17433467408674,133.21247306722492,221.0,mittleren Drittel
30,1061,Steinburg,Schleswig-Holstein,134.91563981042654,148.1033770446651,180.0,mittleren Drittel
31,1062,Stormarn,Schleswig-Holstein,171.42727171220497,160.11739302580932,157.0,mittleren Drittel
32,3101,Braunschweig,Niedersachsen,146.25583611818217,164.59541118679115,139.0,mittleren Drittel
33,3102,Salzgitter,Niedersachsen,139.85993749276537,120.02002580247628,259.0,mittleren Drittel
34,3103,Wolfsburg,Niedersachsen,168.93042474719348,151.2516149870801,173.0,mittleren Drittel
35,3151,Gifhorn,Niedersachsen,103.88614527121756,102.92449796024307,298.0,schlechtesten Drittel
36,3153,Goslar,Niedersachsen,88.46273708317932,90.49061534806368,325.0,schlechtesten Drittel
37,3154,Helmstedt,Niedersachsen,107.83131875889184,107.6728075351297,289.0,schlechtesten Drittel
38,3155,Northeim,Niedersachsen,111.06953072374824,124.02483076829677,250.0,mittleren Drittel
39,3157,Peine,Niedersachsen,174.76443648997213,173.41951061511733,124.0,besten Drittel
40,3158,Wolfenbüttel,Niedersachsen,183.33553893998544,179.42208929214735,114.0,besten Drittel
41,3159,Göttingen,Niedersachsen,112.6656780762234,117.9746835443038,267.0,schlechtesten Drittel
42,3241,Region Hannover,Niedersachsen,144.5129276573518,136.32468645322115,209.0,mittleren Drittel
43,3251,Diepholz,Niedersachsen,289.9917240866274,336.90249092042995,7.0,besten Drittel
44,3252,Hameln-Pyrmont,Niedersachsen,289.2793309277307,283.82016422129493,13.0,besten Drittel
45,3254,Hildesheim,Niedersachsen,116.73278038225747,124.25580112101764,248.0,mittleren Drittel
46,3255,Holzminden,Niedersachsen,93.3855404838484,92.25575797285173,319.0,schlechtesten Drittel
47,3256,Nienburg (Weser),Niedersachsen,305.564471659136,258.3418965021168,19.0,besten Drittel
48,3257,Schaumburg,Niedersachsen,271.9330524819815,291.59880307564106,12.0,besten Drittel
49,3351,Celle,Niedersachsen,123.13169254919548,133.8454505925769,218.0,mittleren Drittel
50,3352,Cuxhaven,Niedersachsen,69.2303820405698,68.37636928771892,355.0,schlechtesten Drittel
51,3353,Harburg,Niedersachsen,167.40969775412862,183.17605149678147,105.0,besten Drittel
52,3354,Lüchow-Dannenberg,Niedersachsen,213.1694828469022,324.4335401933901,9.0,besten Drittel
53,3355,Lüneburg,Niedersachsen,149.94080559455963,183.8684289087307,100.0,besten Drittel
54,3356,Osterholz,Niedersachsen,147.06065042814674,199.9389392882065,68.0,besten Drittel
55,3357,Rotenburg (Wümme),Niedersachsen,185.662169772054,187.94304682465375,92.0,besten Drittel
56,3358,Heidekreis,Niedersachsen,169.81402310209754,202.0868083898215,65.0,besten Drittel
57,3359,Stade,Niedersachsen,214.13126494014023,140.47244554604907,202.0,mittleren Drittel
58,3360,Uelzen,Niedersachsen,146.52381106055225,176.92241211675994,119.0,besten Drittel
59,3361,Verden,Niedersachsen,101.91987750474816,148.35652085423118,178.0,mittleren Drittel
60,3401,Delmenhorst,Niedersachsen,104.575248231553,105.9055778485994,293.0,schlechtesten Drittel
61,3402,Emden,Niedersachsen,93.84779938992988,117.37578698319766,269.0,schlechtesten Drittel
62,3403,Oldenburg (Oldenburg),Niedersachsen,170.39303365497764,141.0512661772943,200.0,mittleren Drittel
63,3404,Osnabrück,Niedersachsen,161.21167794234168,153.6447391656467,166.0,mittleren Drittel
64,3405,Wilhelmshaven,Niedersachsen,122.79366412514273,112.17066326191332,278.0,schlechtesten Drittel
65,3451,Ammerland,Niedersachsen,174.71352426282417,192.27493772036644,81.0,besten Drittel
66,3452,Aurich,Niedersachsen,170.79330337882632,162.29532332867103,150.0,mittleren Drittel
67,3453,Cloppenburg,Niedersachsen,154.3421924908094,160.76972982992723,154.0,mittleren Drittel
68,3454,Emsland,Niedersachsen,211.35314927922684,201.79369470708053,66.0,besten Drittel
69,3455,Friesland,Niedersachsen,276.18408885366176,251.0937547362359,25.0,besten Drittel
70,3456,Grafschaft Bentheim,Niedersachsen,185.85107166531637,181.75225359160493,108.0,besten Drittel
71,3457,Leer,Niedersachsen,75.29732010721949,85.9210533988792,333.0,schlechtesten Drittel
72,3458,Oldenburg,Niedersachsen,181.4200982360755,162.41338130481415,148.0,mittleren Drittel
73,3459,Osnabrück,Niedersachsen,218.6850879492231,219.84527263673564,42.0,besten Drittel
74,3460,Vechta,Niedersachsen,211.80488433533088,262.4532004620802,18.0,besten Drittel
75,3461,Wesermarsch,Niedersachsen,175.44409847449654,175.48913289051558,120.0,besten Drittel
76,3462,Wittmund,Niedersachsen,93.0890807123644,94.83479715600168,314.0,schlechtesten Drittel
77,4011,Bremen,Bremen,91.51893431191104,90.36081846469916,326.0,schlechtesten Drittel
78,4012,Bremerhaven,Bremen,57.416352601872,49.54340111133616,379.0,schlechtesten Drittel
79,5111,Düsseldorf,Nordrhein-Westfalen,53.85907408313357,51.268043247389706,378.0,schlechtesten Drittel
80,5112,Duisburg,Nordrhein-Westfalen,72.67252848382999,65.194551156014,363.0,schlechtesten Drittel
81,5113,Essen,Nordrhein-Westfalen,58.37580863134643,46.6711880703622,385.0,schlechtesten Drittel
82,5114,Krefeld,Nordrhein-Westfalen,110.76133537908048,110.9484932376435,281.0,schlechtesten Drittel
83,5116,Mönchengladbach,Nordrhein-Westfalen,127.07099741304972,120.45905301060984,258.0,mittleren Drittel
84,5117,Mülheim an der Ruhr,Nordrhein-Westfalen,96.52735526746852,98.07454906067716,309.0,schlechtesten Drittel
85,5119,Oberhausen,Nordrhein-Westfalen,66.31595878551627,68.10265023906551,356.0,schlechtesten Drittel
86,5120,Remscheid,Nordrhein-Westfalen,78.52745206172985,76.94859930413573,344.0,schlechtesten Drittel
87,5122,Solingen,Nordrhein-Westfalen,81.62584640169155,70.2292186214218,352.0,schlechtesten Drittel
88,5124,Wuppertal,Nordrhein-Westfalen,53.57132722267942,51.81350069294994,377.0,schlechtesten Drittel
89,5154,Kleve,Nordrhein-Westfalen,122.4023536311463,125.58277474121932,245.0,mittleren Drittel
90,5158,Mettmann,Nordrhein-Westfalen,118.46030076118572,119.61463654345664,261.0,mittleren Drittel
91,5162,Rhein-Kreis Neuss,Nordrhein-Westfalen,123.06702038973609,104.2276455140586,295.0,schlechtesten Drittel
92,5166,Viersen,Nordrhein-Westfalen,149.78453331188717,128.3697778492376,234.0,mittleren Drittel
93,5170,Wesel,Nordrhein-Westfalen,130.60654299730354,132.20230682462787,224.0,mittleren Drittel
94,5314,Bonn,Nordrhein-Westfalen,99.21614280170742,93.56008699887168,317.0,schlechtesten Drittel
95,5315,Köln,Nordrhein-Westfalen,60.63470376927975,65.95489793243735,361.0,schlechtesten Drittel
96,5316,Leverkusen,Nordrhein-Westfalen,92.75778141533785,78.56380220249534,343.0,schlechtesten Drittel
97,5334,Städteregion Aachen,Nordrhein-Westfalen,127.95037576564964,123.19831270626322,252.0,mittleren Drittel
98,5358,Düren,Nordrhein-Westfalen,136.71815378979824,138.30429207211284,205.0,mittleren Drittel
99,5362,Rhein-Erft-Kreis,Nordrhein-Westfalen,138.73942377708897,131.42366767388327,227.0,mittleren Drittel
100,5366,Euskirchen,Nordrhein-Westfalen,172.28376272214726,173.99760237498649,122.0,besten Drittel
101,5370,Heinsberg,Nordrhein-Westfalen,152.77596368112535,163.05203971020595,146.0,mittleren Drittel
102,5374,Oberbergischer Kreis,Nordrhein-Westfalen,,,,
103,5378,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,,,,
104,5382,Rhein-Sieg-Kreis,Nordrhein-Westfalen,160.84863528553794,142.53258380179054,196.0,mittleren Drittel
105,5512,Bottrop,Nordrhein-Westfalen,140.45771618870785,116.3577196987767,271.0,schlechtesten Drittel
106,5513,Gelsenkirchen,Nordrhein-Westfalen,89.95992808386154,80.43843229578742,340.0,schlechtesten Drittel
107,5515,Münster,Nordrhein-Westfalen,129.63449907967396,143.17816202754082,194.0,mittleren Drittel
108,5554,Borken,Nordrhein-Westfalen,217.85843900483715,232.58527875922968,36.0,besten Drittel
109,5558,Coesfeld,Nordrhein-Westfalen,208.717051945265,203.196926311211,63.0,besten Drittel
110,5562,Recklinghausen,Nordrhein-Westfalen,130.49846482878183,127.7968184433156,235.0,mittleren Drittel
111,5566,Steinfurt,Nordrhein-Westfalen,191.0762383300068,203.8478615430268,62.0,besten Drittel
112,5570,Warendorf,Nordrhein-Westfalen,174.93807246961228,185.1472692733322,95.0,besten Drittel
113,5711,Bielefeld,Nordrhein-Westfalen,110.65193986522758,124.49139303587008,247.0,mittleren Drittel
114,5754,Gütersloh,Nordrhein-Westfalen,125.97698353914014,134.686336748735,215.0,mittleren Drittel
115,5758,Herford,Nordrhein-Westfalen,116.1131777882218,126.80654727456326,236.0,mittleren Drittel
116,5762,Höxter,Nordrhein-Westfalen,145.57118184061187,150.7060094897981,175.0,mittleren Drittel
117,5766,Lippe,Nordrhein-Westfalen,181.47609999627437,188.9241144767559,88.0,besten Drittel
118,5770,Minden-Lübbecke,Nordrhein-Westfalen,169.28103736861345,181.5934508653753,109.0,besten Drittel
119,5774,Paderborn,Nordrhein-Westfalen,145.75455933525123,161.5483159550489,151.0,mittleren Drittel
120,5911,Bochum,Nordrhein-Westfalen,79.63663268661625,84.24108392279958,337.0,schlechtesten Drittel
121,5913,Dortmund,Nordrhein-Westfalen,55.03462709089761,62.56806239960797,367.0,schlechtesten Drittel
122,5914,Hagen,Nordrhein-Westfalen,67.53210882474795,60.544711612352735,369.0,schlechtesten Drittel
123,5915,Hamm,Nordrhein-Westfalen,66.16324462190443,65.84454117239491,362.0,schlechtesten Drittel
124,5916,Herne,Nordrhein-Westfalen,61.28567236914285,59.23919969415064,372.0,schlechtesten Drittel
125,5954,Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,76.51809917202974,81.1438120880141,338.0,schlechtesten Drittel
126,5958,Hochsauerlandkreis,Nordrhein-Westfalen,132.77970328174507,143.07995212909702,195.0,mittleren Drittel
127,5962,Märkischer Kreis,Nordrhein-Westfalen,95.15143919052464,91.05813606354396,323.0,schlechtesten Drittel
128,5966,Olpe,Nordrhein-Westfalen,138.8397057407229,136.43316686912314,208.0,mittleren Drittel
129,5970,Siegen-Wittgenstein,Nordrhein-Westfalen,106.38175387593412,102.91806265903423,299.0,schlechtesten Drittel
130,5974,Soest,Nordrhein-Westfalen,182.90762626178915,198.40141387833205,69.0,besten Drittel
131,5978,Unna,Nordrhein-Westfalen,132.2292437333225,144.51574877165172,190.0,mittleren Drittel
132,6411,Darmstadt,Hessen,97.9884017098903,101.96388857476724,300.0,schlechtesten Drittel
133,6412,Frankfurt am Main,Hessen,41.255326487546405,43.25327442337692,388.0,schlechtesten Drittel
134,6413,Offenbach am Main,Hessen,49.49875189623482,49.47590379855148,380.0,schlechtesten Drittel
135,6414,Wiesbaden,Hessen,93.18526469730097,90.1406630798,327.0,schlechtesten Drittel
136,6431,Bergstraße,Hessen,185.10459626401925,170.93149825655408,127.0,besten Drittel
137,6432,Darmstadt-Dieburg,Hessen,197.25592378470807,194.5374721616656,73.0,besten Drittel
138,6433,Groß-Gerau,Hessen,176.47233734133692,178.23332982846702,118.0,besten Drittel
139,6434,Hochtaunuskreis,Hessen,164.2701209833568,143.8758265516413,191.0,mittleren Drittel
140,6435,Main-Kinzig-Kreis,Hessen,133.79168016510084,131.8032957938196,225.0,mittleren Drittel
141,6436,Main-Taunus-Kreis,Hessen,133.5762893071088,121.2802594623512,257.0,mittleren Drittel
142,6437,Odenwaldkreis,Hessen,205.71558881759665,193.02561134423385,79.0,besten Drittel
143,6438,Offenbach,Hessen,149.33625157865262,145.72196262992858,187.0,mittleren Drittel
144,6439,Rheingau-Taunus-Kreis,Hessen,195.47794988904928,193.0183052077276,80.0,besten Drittel
145,6440,Wetteraukreis,Hessen,130.36582717479286,109.2272347939282,286.0,schlechtesten Drittel
146,6531,Gießen,Hessen,141.79579147832698,135.53357603242205,211.0,mittleren Drittel
147,6532,Lahn-Dill-Kreis,Hessen,132.0205924258287,114.7201951273419,274.0,schlechtesten Drittel
148,6533,Limburg-Weilburg,Hessen,141.07599349291192,134.8880672815179,213.0,mittleren Drittel
149,6534,Marburg-Biedenkopf,Hessen,174.16218731250996,178.338613193007,117.0,besten Drittel
150,6535,Vogelsbergkreis,Hessen,100.82726702080816,188.33052148692963,91.0,besten Drittel
151,6611,Kassel,Hessen,144.97995599361002,111.85885957582268,280.0,schlechtesten Drittel
152,6631,Fulda,Hessen,199.63376588144865,196.39678418817792,71.0,besten Drittel
153,6632,Hersfeld-Rotenburg,Hessen,152.8706098135281,141.26712328767124,199.0,mittleren Drittel
154,6633,Kassel,Hessen,224.9213819885608,214.7531507508217,48.0,besten Drittel
155,6634,Schwalm-Eder-Kreis,Hessen,119.4942160625052,106.21663701067617,292.0,schlechtesten Drittel
156,6635,Waldeck-Frankenberg,Hessen,174.9036191103205,153.8255136461208,165.0,mittleren Drittel
157,6636,Werra-Meißner-Kreis,Hessen,102.1641162779181,112.86808068288587,276.0,schlechtesten Drittel
158,7111,Koblenz,Rheinland-Pfalz,72.84010386866775,69.92803471266801,353.0,schlechtesten Drittel
159,7131,Ahrweiler,Rheinland-Pfalz,136.3434665836285,171.37623678906183,125.0,besten Drittel
160,7132,Altenkirchen (Westerwald),Rheinland-Pfalz,190.49945332309767,184.2478328569105,99.0,besten Drittel
161,7133,Bad Kreuznach,Rheinland-Pfalz,131.79831249364642,121.81094326786186,255.0,mittleren Drittel
162,7134,Birkenfeld,Rheinland-Pfalz,277.7014567011968,324.5329704317704,8.0,besten Drittel
163,7135,Cochem-Zell,Rheinland-Pfalz,248.9493081598345,251.7295137873916,23.0,besten Drittel
164,7137,Mayen-Koblenz,Rheinland-Pfalz,158.4463393561474,251.71100537278969,24.0,besten Drittel
165,7138,Neuwied,Rheinland-Pfalz,227.38615268512757,217.18332778175187,47.0,besten Drittel
166,7140,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,323.8697027934696,341.3023084883125,5.0,besten Drittel
167,7141,Rhein-Lahn-Kreis,Rheinland-Pfalz,183.5940368656826,178.7654804444662,115.0,besten Drittel
168,7143,Westerwaldkreis,Rheinland-Pfalz,174.32981639282286,163.955036237243,144.0,mittleren Drittel
169,7211,Trier,Rheinland-Pfalz,174.84415427213992,238.2147227554927,30.0,besten Drittel
170,7231,Bernkastel-Wittlich,Rheinland-Pfalz,174.84415427213992,238.2147227554927,30.0,besten Drittel
171,7232,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,174.84415427213992,238.2147227554927,30.0,besten Drittel
172,7233,Vulkaneifel,Rheinland-Pfalz,174.84415427213992,238.2147227554927,30.0,besten Drittel
173,7235,Trier-Saarburg,Rheinland-Pfalz,174.84415427213992,238.2147227554927,30.0,besten Drittel
174,7311,Frankenthal (Pfalz),Rheinland-Pfalz,172.29848281556403,239.46666666666667,26.0,besten Drittel
175,7312,Kaiserslautern,Rheinland-Pfalz,103.43195504622264,108.59705805623004,287.0,schlechtesten Drittel
176,7313,Landau in der Pfalz,Rheinland-Pfalz,210.84206407859847,160.029988218914,158.0,mittleren Drittel
177,7314,Ludwigshafen am Rhein,Rheinland-Pfalz,102.91019739408598,93.17500883765943,318.0,schlechtesten Drittel
178,7315,Mainz,Rheinland-Pfalz,94.37638155183394,85.5828263242494,334.0,schlechtesten Drittel
179,7316,Neustadt an der Weinstraße,Rheinland-Pfalz,110.82711571350713,116.92867594642254,270.0,schlechtesten Drittel
180,7317,Pirmasens,Rheinland-Pfalz,118.9380443388757,123.45679012345678,251.0,mittleren Drittel
181,7318,Speyer,Rheinland-Pfalz,116.6544677652272,110.30527581245936,283.0,schlechtesten Drittel
182,7319,Worms,Rheinland-Pfalz,103.43241116290332,100.0371439868678,306.0,schlechtesten Drittel
183,7320,Zweibrücken,Rheinland-Pfalz,109.24247705356105,161.2599629422664,153.0,mittleren Drittel
184,7331,Alzey-Worms,Rheinland-Pfalz,194.12310740500948,193.8186130130437,75.0,besten Drittel
185,7332,Bad Dürkheim,Rheinland-Pfalz,198.05956678700363,188.87401882650147,89.0,besten Drittel
186,7333,Donnersbergkreis,Rheinland-Pfalz,199.9255348855764,252.8495214392565,22.0,besten Drittel
187,7334,Germersheim,Rheinland-Pfalz,175.57817557817555,205.85864223369452,61.0,besten Drittel
188,7335,Kaiserslautern,Rheinland-Pfalz,279.88512283894454,266.16817155756206,16.0,besten Drittel
189,7336,Kusel,Rheinland-Pfalz,184.02234164092584,338.4494686541616,6.0,besten Drittel
190,7337,Südliche Weinstraße,Rheinland-Pfalz,190.42250980745817,183.72855040935883,103.0,besten Drittel
191,7338,Rhein-Pfalz-Kreis,Rheinland-Pfalz,126.77482798951928,126.37476252633212,237.0,mittleren Drittel
192,7339,Mainz-Bingen,Rheinland-Pfalz,195.40213400642497,195.48516723791516,72.0,besten Drittel
193,7340,Südwestpfalz,Rheinland-Pfalz,257.3965422011943,275.25497302764666,15.0,besten Drittel
194,8111,Stuttgart,Baden-Württemberg,83.44638489758484,89.03626022322527,329.0,schlechtesten Drittel
195,8115,Böblingen,Baden-Württemberg,166.90075876938388,178.64942046027213,116.0,besten Drittel
196,8116,Esslingen,Baden-Württemberg,137.19950377464107,147.3397586658596,181.0,mittleren Drittel
197,8117,Göppingen,Baden-Württemberg,168.84116598198085,143.39151637871404,192.0,mittleren Drittel
198,8118,Ludwigsburg,Baden-Württemberg,156.66422508189223,146.37843114587747,185.0,mittleren Drittel
199,8119,Rems-Murr-Kreis,Baden-Württemberg,137.8833114895268,153.30013152782914,168.0,mittleren Drittel
200,8121,Heilbronn,Baden-Württemberg,144.84814698111836,144.5222919862721,189.0,mittleren Drittel
201,8125,Heilbronn,Baden-Württemberg,142.87068498182603,166.1926937923508,136.0,mittleren Drittel
202,8126,Hohenlohekreis,Baden-Württemberg,207.19312668828883,231.69423136611536,37.0,besten Drittel
203,8127,Schwäbisch Hall,Baden-Württemberg,114.00408379025488,110.72475487718587,282.0,schlechtesten Drittel
204,8128,Main-Tauber-Kreis,Baden-Württemberg,156.4630993241302,152.2489523981791,171.0,mittleren Drittel
205,8135,Heidenheim,Baden-Württemberg,135.25680998950554,133.60991476673794,220.0,mittleren Drittel
206,8136,Ostalbkreis,Baden-Württemberg,144.88730274369598,141.82262467625853,197.0,mittleren Drittel
207,8211,Baden-Baden,Baden-Württemberg,407.4612849172298,353.92883550650146,3.0,besten Drittel
208,8212,Karlsruhe,Baden-Württemberg,140.83271236358826,138.38851495934327,204.0,mittleren Drittel
209,8215,Karlsruhe,Baden-Württemberg,187.18163588342568,171.1819573371049,126.0,besten Drittel
210,8216,Rastatt,Baden-Württemberg,225.55011423853355,236.4848270721398,34.0,besten Drittel
211,8221,Heidelberg,Baden-Württemberg,88.84775566867191,91.62724185938102,322.0,schlechtesten Drittel
212,8222,Mannheim,Baden-Württemberg,55.83025188578028,46.68717975209947,384.0,schlechtesten Drittel
213,8225,Neckar-Odenwald-Kreis,Baden-Württemberg,195.9616968411061,222.494210588538,41.0,besten Drittel
214,8226,Rhein-Neckar-Kreis,Baden-Württemberg,133.78581925055104,128.97071135812692,231.0,mittleren Drittel
215,8231,Pforzheim,Baden-Württemberg,31.4511753702639,42.93899187404774,389.0,schlechtesten Drittel
216,8235,Calw,Baden-Württemberg,192.67760964349836,166.71974224003895,134.0,mittleren Drittel
217,8236,Enzkreis,Baden-Württemberg,246.8998103890573,206.93159517802076,59.0,besten Drittel
218,8237,Freudenstadt,Baden-Württemberg,141.9206115243547,153.99107836842282,164.0,mittleren Drittel
219,8311,Freiburg im Breisgau,Baden-Württemberg,113.84067841293556,119.43794925088768,264.0,mittleren Drittel
220,8315,Breisgau-Hochschwarzwald,Baden-Württemberg,161.3303330056525,169.74179493859182,128.0,besten Drittel
